ru,kk,где
"konaev.tv — кабельное телевидение Конаева","konaev.tv — Қонаевтың кабельдік теледидары","Заставка и вкладка"
"эфир скоро начнётся","эфир жақында басталады","Заставка и вкладка"
"Настроечная таблица","Баптау кестесі","Каналы, кнопки, бегущая строка"
"С полуночи до шести утра сайт показывает её сам и советует спать. Заявки принимаем и ночью, перезвоним утром.","Түн ортасынан таңғы алтыға дейін сайт оны өзі көрсетіп, ұйықтауға кеңес береді. Өтінімдерді түнде де қабылдаймыз, таңертең хабарласамыз.","Каналы, кнопки, бегущая строка"
"Эфир окончен","Эфир аяқталды","Каналы, кнопки, бегущая строка"
"В Конаеве ночь. Идите спать. Если очень нужно, переключите канал: заявку примем и ночью, перезвоним утром.","Қонаевта түн. Ұйықтаңыз. Қатты қажет болса, арнаны ауыстырыңыз: өтінімді түнде де қабылдаймыз, таңертең хабарласамыз.","Каналы, кнопки, бегущая строка"
"Досмотри","Бір нәрсені","Каналы, кнопки, бегущая строка"
"хоть что-нибудь","соңына дейін","Каналы, кнопки, бегущая строка"
"до конца.","көріп шық.","Каналы, кнопки, бегущая строка"
"Кабельное телевидение в Конаеве. 90 каналов. Не зависает, не просит пароль, не предлагает подписку.","Қонаевтағы кабельдік теледидар. 90 арна. Қатып қалмайды, құпиясөз сұрамайды, жазылым ұсынбайды.","Каналы, кнопки, бегущая строка"
"Листать здесь нечего. Переключайте каналы пультом.","Мұнда ақтаратын ештеңе жоқ. Арналарды пультпен ауыстырыңыз.","Каналы, кнопки, бегущая строка"
"Подключение без приложений","Қосымшасыз қосылу","Каналы, кнопки, бегущая строка"
"Напишите в WhatsApp или позвоните. Адрес и удобное время, больше ничего не нужно.","WhatsApp-қа жазыңыз немесе қоңырау шалыңыз. Мекенжай мен ыңғайлы уақыт — басқа ештеңе керек емес.","Каналы, кнопки, бегущая строка"
"Мастер приходит: [СРОК]. Работаем по всему Конаеву.","Шебер келеді: [МЕРЗІМ]. Бүкіл Қонаев бойынша жұмыс істейміз.","Каналы, кнопки, бегущая строка"
"Включаете телевизор. Он показывает. Всё.","Теледидарды қосасыз. Ол көрсетеді. Болды.","Каналы, кнопки, бегущая строка"
"Написать в WhatsApp","WhatsApp-қа жазу","Каналы, кнопки, бегущая строка"
"Позвонить [ТЕЛЕФОН]","Қоңырау шалу [ТЕЛЕФОН]","Каналы, кнопки, бегущая строка"
"Условия расскажем по телефону или в WhatsApp, это минута.","Шарттарын телефонмен немесе WhatsApp арқылы айтамыз, бір минуттық іс.","Каналы, кнопки, бегущая строка"
"Подключаете родителям?","Ата-анаңызға қосасыз ба?","Каналы, кнопки, бегущая строка"
"Им не нужно ничего устанавливать, обновлять и вспоминать. Одна кнопка на пульте, как было всегда.","Оларға ештеңе орнатудың, жаңартудың, есте сақтаудың қажеті жоқ. Пульттегі бір батырма — бұрынғыдай.","Каналы, кнопки, бегущая строка"
"Пенсионерам абонентская плата со скидкой. Мама больше не позвонит с вопросом, куда пропал ютуб.","Зейнеткерлерге абоненттік төлем жеңілдікпен. Анаңыз енді «ютуб қайда жоғалды?» деп қоңырау шалмайды.","Каналы, кнопки, бегущая строка"
"Подключить родителям","Ата-анаға қосу","Каналы, кнопки, бегущая строка"
"Не работает телевизор?","Теледидар істемей ме?","Каналы, кнопки, бегущая строка"
"Он включён в розетку? Мы не шутим. Хотя шутим. Но проверьте.","Розеткаға қосулы ма? Әзілдеп тұрған жоқпыз. Әзілдеп тұрмыз, әрине. Бірақ тексеріңіз.","Каналы, кнопки, бегущая строка"
